Goal,Target,Indicator,SeriesCode,SeriesDescription,GeoAreaCode,GeoAreaName,TimePeriod,Value,Time_Detail,UpperBound,LowerBound,Source,FootNote,Age,Location,Nature,Observation Status,Reporting Type,Sex,Units
2,2.2,2.2.1,SH_STA_STNT,Proportion of children moderately or severely stunted (%),50,Bangladesh,2015,34.2,2015,35.1,33.4,"Joint Child Malnutrition Estimates (2025 Edition), United Nations Children's Fund (UNICEF), World Health Organisation (WHO) and the World Bank Group.",,<5Y,,M,A,G,BOTHSEX,PER_POP_U5
2,2.2,2.2.1,SH_STA_STNT,Proportion of children moderately or severely stunted (%),50,Bangladesh,2016,32.8,2016,33.7,31.9,"Joint Child Malnutrition Estimates (2025 Edition), United Nations Children's Fund (UNICEF), World Health Organisation (WHO) and the World Bank Group.",,<5Y,,M,A,G,BOTHSEX,PER_POP_U5
2,2.2,2.2.1,SH_STA_STNT,Proportion of children moderately or severely stunted (%),50,Bangladesh,2017,31.3,2017,32.3,30.3,"Joint Child Malnutrition Estimates (2025 Edition), United Nations Children's Fund (UNICEF), World Health Organisation (WHO) and the World Bank Group.",,<5Y,,M,A,G,BOTHSEX,PER_POP_U5
2,2.2,2.2.1,SH_STA_STNT,Proportion of children moderately or severely stunted (%),50,Bangladesh,2018,29.8,2018,30.9,28.7,"Joint Child Malnutrition Estimates (2025 Edition), United Nations Children's Fund (UNICEF), World Health Organisation (WHO) and the World Bank Group.",,<5Y,,M,A,G,BOTHSEX,PER_POP_U5
2,2.2,2.2.1,SH_STA_STNT,Proportion of children moderately or severely stunted (%),50,Bangladesh,2019,28.4,2019,29.6,27.2,"Joint Child Malnutrition Estimates (2025 Edition), United Nations Children's Fund (UNICEF), World Health Organisation (WHO) and the World Bank Group.",,<5Y,,M,A,G,BOTHSEX,PER_POP_U5
2,2.2,2.2.1,SH_STA_STNT,Proportion of children moderately or severely stunted (%),50,Bangladesh,2020,27.3,2020,28.7,26,"Joint Child Malnutrition Estimates (2025 Edition), United Nations Children's Fund (UNICEF), World Health Organisation (WHO) and the World Bank Group.",,<5Y,,M,A,G,BOTHSEX,PER_POP_U5
2,2.2,2.2.1,SH_STA_STNT,Proportion of children moderately or severely stunted (%),50,Bangladesh,2021,26.4,2021,27.9,25,"Joint Child Malnutrition Estimates (2025 Edition), United Nations Children's Fund (UNICEF), World Health Organisation (WHO) and the World Bank Group.",,<5Y,,M,A,G,BOTHSEX,PER_POP_U5
2,2.2,2.2.1,SH_STA_STNT,Proportion of children moderately or severely stunted (%),50,Bangladesh,2022,25.9,2022,27.5,24.3,"Joint Child Malnutrition Estimates (2025 Edition), United Nations Children's Fund (UNICEF), World Health Organisation (WHO) and the World Bank Group.",,<5Y,,M,A,G,BOTHSEX,PER_POP_U5
2,2.2,2.2.1,SH_STA_STNT,Proportion of children moderately or severely stunted (%),50,Bangladesh,2023,25.5,2023,27.5,23.7,"Joint Child Malnutrition Estimates (2025 Edition), United Nations Children's Fund (UNICEF), World Health Organisation (WHO) and the World Bank Group.",,<5Y,,M,A,G,BOTHSEX,PER_POP_U5
2,2.2,2.2.1,SH_STA_STNT,Proportion of children moderately or severely stunted (%),50,Bangladesh,2024,25.1,2024,27.2,23.1,"Joint Child Malnutrition Estimates (2025 Edition), United Nations Children's Fund (UNICEF), World Health Organisation (WHO) and the World Bank Group.",,<5Y,,M,A,G,BOTHSEX,PER_POP_U5
2,2.2,2.2.1,SH_STA_STNT,Proportion of children moderately or severely stunted (%),64,Bhutan,2015,24.9,2015,26.8,23.1,"Joint Child Malnutrition Estimates (2025 Edition), United Nations Children's Fund (UNICEF), World Health Organisation (WHO) and the World Bank Group.",,<5Y,,M,A,G,BOTHSEX,PER_POP_U5
2,2.2,2.2.1,SH_STA_STNT,Proportion of children moderately or severely stunted (%),64,Bhutan,2016,23.6,2016,25.4,21.8,"Joint Child Malnutrition Estimates (2025 Edition), United Nations Children's Fund (UNICEF), World Health Organisation (WHO) and the World Bank Group.",,<5Y,,M,A,G,BOTHSEX,PER_POP_U5
2,2.2,2.2.1,SH_STA_STNT,Proportion of children moderately or severely stunted (%),64,Bhutan,2017,22.3,2017,24.1,20.5,"Joint Child Malnutrition Estimates (2025 Edition), United Nations Children's Fund (UNICEF), World Health Organisation (WHO) and the World Bank Group.",,<5Y,,M,A,G,BOTHSEX,PER_POP_U5
2,2.2,2.2.1,SH_STA_STNT,Proportion of children moderately or severely stunted (%),64,Bhutan,2018,21.1,2018,23,19.4,"Joint Child Malnutrition Estimates (2025 Edition), United Nations Children's Fund (UNICEF), World Health Organisation (WHO) and the World Bank Group.",,<5Y,,M,A,G,BOTHSEX,PER_POP_U5
