GeoAreaName,TimePeriod,Indicator,Value,SDG,Region
India,2000,Prevalence of Undernourishment (%),48.33,SDG 2,South Asia
India,2001,Prevalence of Undernourishment (%),49.68,SDG 2,South Asia
India,2002,Prevalence of Undernourishment (%),48.82,SDG 2,South Asia
India,2003,Prevalence of Undernourishment (%),49.12,SDG 2,South Asia
India,2004,Prevalence of Undernourishment (%),45.93,SDG 2,South Asia
India,2005,Prevalence of Undernourishment (%),45.21,SDG 2,South Asia
India,2006,Prevalence of Undernourishment (%),44.34,SDG 2,South Asia
India,2007,Prevalence of Undernourishment (%),43.01,SDG 2,South Asia
India,2008,Prevalence of Undernourishment (%),39.68,SDG 2,South Asia
India,2009,Prevalence of Undernourishment (%),44.23,SDG 2,South Asia
India,2010,Prevalence of Undernourishment (%),43.22,SDG 2,South Asia
India,2011,Prevalence of Undernourishment (%),38.91,SDG 2,South Asia
India,2012,Prevalence of Undernourishment (%),39.76,SDG 2,South Asia
India,2013,Prevalence of Undernourishment (%),38.49,SDG 2,South Asia
India,2014,Prevalence of Undernourishment (%),37.74,SDG 2,South Asia
India,2015,Prevalence of Undernourishment (%),34.79,SDG 2,South Asia
India,2016,Prevalence of Undernourishment (%),36.26,SDG 2,South Asia
India,2017,Prevalence of Undernourishment (%),37.3,SDG 2,South Asia
India,2018,Prevalence of Undernourishment (%),39.44,SDG 2,South Asia
India,2019,Prevalence of Undernourishment (%),35.39,SDG 2,South Asia
India,2020,Prevalence of Undernourishment (%),34.18,SDG 2,South Asia
India,2021,Prevalence of Undernourishment (%),32.43,SDG 2,South Asia
India,2022,Prevalence of Undernourishment (%),31.5,SDG 2,South Asia
India,2023,Prevalence of Undernourishment (%),33.02,SDG 2,South Asia
India,2024,Prevalence of Undernourishment (%),31.24,SDG 2,South Asia
India,2000,Stunting in Children < 5 Years (%),49.05,SDG 2,South Asia
India,2001,Stunting in Children < 5 Years (%),47.67,SDG 2,South Asia
India,2002,Stunting in Children < 5 Years (%),48.16,SDG 2,South Asia
India,2003,Stunting in Children < 5 Years (%),46.8,SDG 2,South Asia
India,2004,Stunting in Children < 5 Years (%),46.79,SDG 2,South Asia
India,2005,Stunting in Children < 5 Years (%),45.66,SDG 2,South Asia
India,2006,Stunting in Children < 5 Years (%),45.78,SDG 2,South Asia
India,2007,Stunting in Children < 5 Years (%),42.5,SDG 2,South Asia
India,2008,Stunting in Children < 5 Years (%),45.24,SDG 2,South Asia
India,2009,Stunting in Children < 5 Years (%),46.97,SDG 2,South Asia
India,2010,Stunting in Children < 5 Years (%),43.79,SDG 2,South Asia
India,2011,Stunting in Children < 5 Years (%),41.53,SDG 2,South Asia
India,2012,Stunting in Children < 5 Years (%),41.72,SDG 2,South Asia
India,2013,Stunting in Children < 5 Years (%),38.09,SDG 2,South Asia
India,2014,Stunting in Children < 5 Years (%),36.43,SDG 2,South Asia
India,2015,Stunting in Children < 5 Years (%),39.16,SDG 2,South Asia
India,2016,Stunting in Children < 5 Years (%),36.39,SDG 2,South Asia
India,2017,Stunting in Children < 5 Years (%),34.38,SDG 2,South Asia
India,2018,Stunting in Children < 5 Years (%),34.28,SDG 2,South Asia
India,2019,Stunting in Children < 5 Years (%),33.1,SDG 2,South Asia
India,2020,Stunting in Children < 5 Years (%),34.2,SDG 2,South Asia
India,2021,Stunting in Children < 5 Years (%),34.07,SDG 2,South Asia
India,2022,Stunting in Children < 5 Years (%),33.73,SDG 2,South Asia
India,2023,Stunting in Children < 5 Years (%),32.94,SDG 2,South Asia
India,2024,Stunting in Children < 5 Years (%),31.93,SDG 2,South Asia
India,2000,Maternal Mortality Ratio (per 100k births),49.69,SDG 3,South Asia
India,2001,Maternal Mortality Ratio (per 100k births),48.26,SDG 3,South Asia
India,2002,Maternal Mortality Ratio (per 100k births),46.14,SDG 3,South Asia
India,2003,Maternal Mortality Ratio (per 100k births),49.25,SDG 3,South Asia
India,2004,Maternal Mortality Ratio (per 100k births),46.53,SDG 3,South Asia
India,2005,Maternal Mortality Ratio (per 100k births),45.38,SDG 3,South Asia
India,2006,Maternal Mortality Ratio (per 100k births),46.97,SDG 3,South Asia
India,2007,Maternal Mortality Ratio (per 100k births),43.05,SDG 3,South Asia
India,2008,Maternal Mortality Ratio (per 100k births),44.85,SDG 3,South Asia
India,2009,Maternal Mortality Ratio (per 100k births),43.24,SDG 3,South Asia
India,2010,Maternal Mortality Ratio (per 100k births),40.44,SDG 3,South Asia
India,2011,Maternal Mortality Ratio (per 100k births),41.09,SDG 3,South Asia
India,2012,Maternal Mortality Ratio (per 100k births),41.86,SDG 3,South Asia
India,2013,Maternal Mortality Ratio (per 100k births),40.79,SDG 3,South Asia
India,2014,Maternal Mortality Ratio (per 100k births),41.04,SDG 3,South Asia
India,2015,Maternal Mortality Ratio (per 100k births),38.51,SDG 3,South Asia
India,2016,Maternal Mortality Ratio (per 100k births),42.26,SDG 3,South Asia
